FFT_pack x,FFT_pack y,FFTW3_R2R x,FFTW3_R2R y,FFTW3_in_place x,FFTW3_in_place y,JMFFTC x,JMFFTC y,
8.00000000000000000000000,0.00000000000000031927582,8.00000000000000000000000,0.00000000000000006608238,8.00000000000000000000000,0.00000000000000006608238,8.00000000000000000000000,0.00000000000000006530144,
9.00000000000000000000000,0.00000000000000009325385,9.00000000000000000000000,0.00000000000000023994681,9.00000000000000000000000,0.00000000000000023852480,12.00000000000000000000000,0.00000000000000038591430,
12.00000000000000000000000,0.00000000000000039285178,12.00000000000000000000000,0.00000000000000031906687,12.00000000000000000000000,0.00000000000000031717597,16.00000000000000000000000,0.00000000000000049797585,
15.00000000000000000000000,0.00000000000000055110152,15.00000000000000000000000,0.00000000000000034663820,15.00000000000000000000000,0.00000000000000034664078,18.00000000000000000000000,0.00000000000000062396099,
16.00000000000000000000000,0.00000000000000026996503,16.00000000000000000000000,0.00000000000000025288216,16.00000000000000000000000,0.00000000000000025288216,24.00000000000000000000000,0.00000000000000043405473,
18.00000000000000000000000,0.00000000000000050376242,18.00000000000000000000000,0.00000000000000027802190,18.00000000000000000000000,0.00000000000000027637424,32.00000000000000000000000,0.00000000000000044172286,
24.00000000000000000000000,0.00000000000000057054581,24.00000000000000000000000,0.00000000000000027464644,24.00000000000000000000000,0.00000000000000043148558,36.00000000000000000000000,0.00000000000000062334394,
32.00000000000000000000000,0.00000000000000049747969,32.00000000000000000000000,0.00000000000000038299135,32.00000000000000000000000,0.00000000000000038527749,64.00000000000000000000000,0.00000000000000058024093,
36.00000000000000000000000,0.00000000000000084910060,36.00000000000000000000000,0.00000000000000069372979,36.00000000000000000000000,0.00000000000000066942968,80.00000000000000000000000,0.00000000000000134106117,
64.00000000000000000000000,0.00000000000000058369145,64.00000000000000000000000,0.00000000000000032988971,64.00000000000000000000000,0.00000000000000042343724,108.00000000000000000000000,0.00000000000000118328627,
80.00000000000000000000000,0.00000000000000073136760,80.00000000000000000000000,0.00000000000000048531075,80.00000000000000000000000,0.00000000000000067297488,128.00000000000000000000000,0.00000000000000094374166,
108.00000000000000000000000,0.00000000000000100783880,108.00000000000000000000000,0.00000000000000062272749,108.00000000000000000000000,0.00000000000000076674027,210.00000000000000000000000,0.00000000000000281642575,
128.00000000000000000000000,0.00000000000000070110225,128.00000000000000000000000,0.00000000000000045429356,128.00000000000000000000000,0.00000000000000076194119,256.00000000000000000000000,0.00000000000000105588370,
210.00000000000000000000000,0.00000000000000231478649,210.00000000000000000000000,0.00000000000000071774169,210.00000000000000000000000,0.00000000000000104375508,504.00000000000000000000000,0.00000000000000126911698,
256.00000000000000000000000,0.00000000000000086781167,256.00000000000000000000000,0.00000000000000065241367,256.00000000000000000000000,0.00000000000000084742833,512.00000000000000000000000,0.00000000000000106781162,
504.00000000000000000000000,0.00000000000000217974561,504.00000000000000000000000,0.00000000000000084715098,504.00000000000000000000000,0.00000000000000101252816,1000.00000000000000000000000,0.00000000000000273035597,
512.00000000000000000000000,0.00000000000000094812574,512.00000000000000000000000,0.00000000000000070018489,512.00000000000000000000000,0.00000000000000094251383,1024.00000000000000000000000,0.00000000000000130610812,
1000.00000000000000000000000,0.00000000000000109967131,1000.00000000000000000000000,0.00000000000000097640716,1000.00000000000000000000000,0.00000000000000113958907,1960.00000000000000000000000,0.00000000000000215118393,
1024.00000000000000000000000,0.00000000000000097608035,1024.00000000000000000000000,0.00000000000000079748036,1024.00000000000000000000000,0.00000000000000092523627,2048.00000000000000000000000,0.00000000000000130525335,
1960.00000000000000000000000,0.00000000000000411197786,1960.00000000000000000000000,0.00000000000000101118827,1960.00000000000000000000000,0.00000000000000114562416,4096.00000000000000000000000,0.00000000000000153196268,
2048.00000000000000000000000,0.00000000000000109206509,2048.00000000000000000000000,0.00000000000000089755518,2048.00000000000000000000000,0.00000000000000106640650,8192.00000000000000000000000,0.00000000000000161507821,
4096.00000000000000000000000,0.00000000000000119349729,4096.00000000000000000000000,0.00000000000000098092839,4096.00000000000000000000000,0.00000000000000115856585,10368.00000000000000000000000,0.00000000000000175466708,
4725.00000000000000000000000,0.00000000000000269363754,4725.00000000000000000000000,0.00000000000000129665918,4725.00000000000000000000000,0.00000000000000129664953,16384.00000000000000000000000,0.00000000000000176453703,
8192.00000000000000000000000,0.00000000000000131954668,8192.00000000000000000000000,0.00000000000000104652300,8192.00000000000000000000000,0.00000000000000122142301,27000.00000000000000000000000,0.00000000000000341214866,
10368.00000000000000000000000,0.00000000000000233399754,10368.00000000000000000000000,0.00000000000000122830261,10368.00000000000000000000000,0.00000000000000138336669,32768.00000000000000000000000,0.00000000000000187138889,
16384.00000000000000000000000,0.00000000000000135846239,16384.00000000000000000000000,0.00000000000000110989539,16384.00000000000000000000000,0.00000000000000128770960,65536.00000000000000000000000,0.00000000000000200907377,
27000.00000000000000000000000,0.00000000000000262688801,27000.00000000000000000000000,0.00000000000000141572448,27000.00000000000000000000000,0.00000000000000154773656,75600.00000000000000000000000,0.00000000000000302670111,
32768.00000000000000000000000,0.00000000000000146662383,32768.00000000000000000000000,0.00000000000000117708780,32768.00000000000000000000000,0.00000000000000134154013,131072.00000000000000000000000,0.00000000000000206830945,
65536.00000000000000000000000,0.00000000000000152843378,65536.00000000000000000000000,0.00000000000000124876597,65536.00000000000000000000000,0.00000000000000140640293,262144.00000000000000000000000,0.00000000000000221977230,
75600.00000000000000000000000,0.00000000000000311800432,75600.00000000000000000000000,0.00000000000000155543550,75600.00000000000000000000000,0.00000000000000170048787,,,
